"","Data/Time","ensemble_avg","ensemble_min","ensemble_max","ensemble_med","Obs setup","Obs wspd","Obs wdir"
"1",2018-11-27 00:00:00,NA,NA,NA,NA,3.68247685412176,2.5722,250
"2",2018-11-27 01:00:00,NA,NA,NA,NA,2.11145102786038,5.65884,290
"3",2018-11-27 02:00:00,NA,NA,NA,NA,1.29554962765652,3.60108,270
"4",2018-11-27 03:00:00,NA,NA,NA,NA,1.22011564625776,2.5722,200
"5",2018-11-27 04:00:00,NA,NA,NA,NA,0.912929281985778,3.08664,240
"6",2018-11-27 05:00:00,NA,NA,NA,NA,0.277877467492187,4.11552,270
"7",2018-11-27 06:00:00,NA,NA,NA,NA,-0.0944975223712309,3.60108,270
"8",2018-11-27 07:00:00,NA,NA,NA,NA,-1.22763426683803,7.20216,300
"9",2018-11-27 08:00:00,NA,NA,NA,NA,-2.29675273635203,4.11552,300
"10",2018-11-27 09:00:00,NA,NA,NA,NA,-3.07489623623001,4.11552,300
"11",2018-11-27 10:00:00,NA,NA,NA,NA,-3.88825997936758,3.60108,310
"12",2018-11-27 11:00:00,NA,NA,NA,NA,-4.77779441992914,4.11552,310
"13",2018-11-27 12:00:00,NA,NA,NA,NA,-6.08150398617969,4.62996,310
"14",2018-11-27 13:00:00,NA,NA,NA,NA,-6.47696617400464,5.65884,320
"15",2018-11-27 14:00:00,NA,NA,NA,NA,-7.82798251510508,6.17328,310
"16",2018-11-27 15:00:00,NA,NA,NA,NA,-9.78119028326032,4.11552,310
"17",2018-11-27 16:00:00,NA,NA,NA,NA,-11.8768511607036,5.65884,310
"18",2018-11-27 17:00:00,NA,NA,NA,NA,-12.5950721487173,6.17328,280
"19",2018-11-27 18:00:00,NA,NA,NA,NA,-12.9178309962724,5.65884,270
"20",2018-11-27 19:00:00,NA,NA,NA,NA,-12.0133031960769,7.20216,280
"21",2018-11-27 20:00:00,NA,NA,NA,NA,-12.8107348087469,7.7166,290
"22",2018-11-27 21:00:00,NA,NA,NA,NA,-12.9039318960484,6.68772,280
"23",2018-11-27 22:00:00,NA,NA,NA,NA,-12.84517707006,5.65884,280
"24",2018-11-27 23:00:00,NA,NA,NA,NA,-12.7513621862374,6.17328,280
"25",2018-11-28 00:00:00,NA,NA,NA,NA,-11.9594721095031,4.11552,280
