"","Data/Time","ensemble_avg","ensemble_min","ensemble_max","ensemble_med","Obs setup","Obs wspd","Obs wdir"
"1",2019-03-20 00:00:00,NA,NA,NA,NA,-0.477380152666087,3.08664,60
"2",2019-03-20 01:00:00,NA,NA,NA,NA,-0.807872340382182,4.11552,10
"3",2019-03-20 02:00:00,NA,NA,NA,NA,-0.843907174054206,1.54332,20
"4",2019-03-20 03:00:00,NA,NA,NA,NA,-1.07644035965955,2.5722,340
"5",2019-03-20 04:00:00,NA,NA,NA,NA,-1.72430256807859,3.08664,310
"6",2019-03-20 05:00:00,NA,NA,NA,NA,-2.46493946990291,2.5722,330
"7",2019-03-20 06:00:00,NA,NA,NA,NA,-3.63226312436751,4.62996,360
"8",2019-03-20 07:00:00,NA,NA,NA,NA,-4.41181936400589,5.1444,20
"9",2019-03-20 08:00:00,NA,NA,NA,NA,-5.68320652311693,4.11552,10
"10",2019-03-20 09:00:00,NA,NA,NA,NA,-6.91863055348949,5.1444,10
"11",2019-03-20 10:00:00,NA,NA,NA,NA,-8.69018099743097,5.65884,10
"12",2019-03-20 11:00:00,NA,NA,NA,NA,-9.50363241900635,6.68772,20
"13",2019-03-20 12:00:00,NA,NA,NA,NA,-10.8196190993961,5.1444,20
"14",2019-03-20 13:00:00,NA,NA,NA,NA,-10.7487393003199,3.60108,350
"15",2019-03-20 14:00:00,NA,NA,NA,NA,-12.2636576874328,5.1444,350
"16",2019-03-20 15:00:00,NA,NA,NA,NA,-13.6581635874403,6.17328,360
"17",2019-03-20 16:00:00,NA,NA,NA,NA,-14.9351779587195,7.20216,10
"18",2019-03-20 17:00:00,NA,NA,NA,NA,-18.0287396558802,9.25992,340
"19",2019-03-20 18:00:00,NA,NA,NA,NA,-19.2961305811079,7.7166,360
"20",2019-03-20 19:00:00,NA,NA,NA,NA,-21.0989690796187,9.25992,10
"21",2019-03-20 20:00:00,NA,NA,NA,NA,-22.6538403456775,7.7166,10
"22",2019-03-20 21:00:00,NA,NA,NA,NA,-25.212830111272,9.77436,350
"23",2019-03-20 22:00:00,NA,NA,NA,NA,-26.2450919654108,7.20216,360
"24",2019-03-20 23:00:00,NA,NA,NA,NA,-26.7055856796532,6.68772,360
