"runtime","fcsthour","validtime","gec00.u","gec00.v"
2018-09-07 18:00:00,0,2018-09-07 18:00:00,-2.93698444199508,0.317561325293105
2018-09-07 18:00:00,3,2018-09-07 21:00:00,-4.68532621487064,1.1372442548417
2018-09-07 18:00:00,6,2018-09-08 00:00:00,-3.83413666866965,0.28535736176818
2018-09-07 18:00:00,9,2018-09-08 03:00:00,-3.29528721863046,0.751449108916561
2018-09-07 18:00:00,12,2018-09-08 06:00:00,-2.61377120279503,1.36872700042788
2018-09-07 18:00:00,15,2018-09-08 09:00:00,-1.43933171884538,1.07917068764956
2018-09-07 18:00:00,18,2018-09-08 12:00:00,-0.91128356313886,0.528599776135369
2018-09-07 18:00:00,21,2018-09-08 15:00:00,-1.59192089608697,0.9609837795622
2018-09-07 18:00:00,24,2018-09-08 18:00:00,-2.88268855382657,1.44386919426409
2018-09-07 18:00:00,27,2018-09-08 21:00:00,-3.96463594717202,1.50098953889588
2018-09-07 18:00:00,30,2018-09-09 00:00:00,-3.56811850785095,0.948591564163243
2018-09-07 18:00:00,33,2018-09-09 03:00:00,-2.97789188007901,1.55089334419358
2018-09-07 18:00:00,36,2018-09-09 06:00:00,-2.05781213465255,1.80515272202658
2018-09-07 18:00:00,39,2018-09-09 09:00:00,-0.970301963451225,1.58997847259376
2018-09-07 18:00:00,42,2018-09-09 12:00:00,0.553386319422035,1.34471819808677
2018-09-07 18:00:00,45,2018-09-09 15:00:00,1.7950047709875,1.3876106682352
2018-09-07 18:00:00,48,2018-09-09 18:00:00,0.765033441595739,0.875645513708298
2018-09-07 18:00:00,51,2018-09-09 21:00:00,-0.741707824417874,1.28916040321847
2018-09-07 18:00:00,54,2018-09-10 00:00:00,0.314332475987314,1.3642806170355
2018-09-07 18:00:00,57,2018-09-10 03:00:00,1.21729502820672,1.92133452850786
2018-09-07 18:00:00,60,2018-09-10 06:00:00,3.05269691969237,0.994592237111652
2018-09-07 18:00:00,63,2018-09-10 09:00:00,3.46937629511744,0.134278016327865
2018-09-07 18:00:00,66,2018-09-10 12:00:00,2.57790147850036,-0.238034157506256
2018-09-07 18:00:00,69,2018-09-10 15:00:00,2.02726022011895,-0.025550514698823
2018-09-07 18:00:00,72,2018-09-10 18:00:00,0.955792255842699,1.02845593862856
2018-09-07 18:00:00,75,2018-09-10 21:00:00,-0.34753010846647,2.56432417163932
2018-09-07 18:00:00,78,2018-09-11 00:00:00,0.0311580765093614,2.83710302652445
2018-09-07 18:00:00,81,2018-09-11 03:00:00,0.947631893602044,2.17795179452248
2018-09-07 18:00:00,84,2018-09-11 06:00:00,1.14425326787172,1.05240225024627
2018-09-07 18:00:00,87,2018-09-11 09:00:00,0.526263848465844,0.972650926285758
2018-09-07 18:00:00,90,2018-09-11 12:00:00,0.680627314593862,0.0459935467491373
2018-09-07 18:00:00,93,2018-09-11 15:00:00,0.46905646306917,-0.843743285668064
2018-09-07 18:00:00,96,2018-09-11 18:00:00,-0.0500023908383732,0.1071614168509
2018-09-07 18:00:00,99,2018-09-11 21:00:00,-1.71200415932551,0.731004105998395
2018-09-07 18:00:00,102,2018-09-12 00:00:00,-2.49349034802712,1.0588340018324
2018-09-07 18:00:00,105,2018-09-12 03:00:00,-1.85227436277124,1.28111867585265
2018-09-07 18:00:00,108,2018-09-12 06:00:00,-0.135326203145129,1.48640809535112
2018-09-07 18:00:00,111,2018-09-12 09:00:00,1.73483802165887,-0.240716113229174
2018-09-07 18:00:00,114,2018-09-12 12:00:00,1.04192088822886,-2.36320197128754
2018-09-07 18:00:00,117,2018-09-12 15:00:00,-1.03557546035965,-3.32957766522091
2018-09-07 18:00:00,120,2018-09-12 18:00:00,-2.13927572928794,-3.04311154967804
2018-09-07 18:00:00,123,2018-09-12 21:00:00,-3.58161888412405,-2.70513215914195
2018-09-07 18:00:00,126,2018-09-13 00:00:00,-2.58185943602339,-1.17516841665008
2018-09-07 18:00:00,129,2018-09-13 03:00:00,-1.30401741188967,-0.549682810484016
