drct,validtime,wspd,u,v,wndrun_u,wndrun_v,setup
220.0,2017-04-01 01:00:00,3.6011129,2.3147507532023615,2.758612526089068,,,
220.0,2017-04-01 02:00:00,3.6011129,2.3147507532023615,2.758612526089068,,,
250.0,2017-04-01 03:00:00,4.6300023,4.350778995531784,1.5835540502441747,,,
260.0,2017-04-01 04:00:00,4.1155576,4.053033032448315,0.7146590773232854,,,
270.0,2017-04-01 05:00:00,3.6011129,3.6011129,6.615137079529863e-16,,,
270.0,2017-04-01 06:00:00,3.0866682,3.0866682,5.670117496739883e-16,,,
260.0,2017-04-01 07:00:00,2.0577788,2.0265165162241576,0.3573295386616427,,,
200.0,2017-04-01 08:00:00,2.0577788,0.7038018001085224,1.9336795535696816,,,
0.0,2017-04-01 09:00:00,0.0,-0.0,-0.0,,,
220.0,2017-04-01 10:00:00,1.5433341,0.9920360370867264,1.1822625111810294,,,
0.0,2017-04-01 11:00:00,0.0,-0.0,-0.0,,,
230.0,2017-04-01 12:00:00,1.5433341,1.182262511181029,0.9920360370867268,2.052142624915438,1.0233954850203901,0.16908890858720702
310.0,2017-04-01 13:00:00,1.5433341,1.1822625111810294,-0.9920360370867264,1.9577686047469942,0.7108414380890736,-0.01950850334617457
320.0,2017-04-01 14:00:00,4.1155576,2.6454294322312717,-3.152700029816077,1.9853251613327363,0.2182320584303116,-0.6275996836586285
360.0,2017-04-01 15:00:00,2.5722234999999998,6.300130551933203e-16,-2.5722234999999998,1.622760245038421,-0.12808273742336965,-0.9984809495677388
50.0,2017-04-01 16:00:00,3.0866682,-2.3645250223620584,-1.984072074173453,1.08796374047089,-0.3529770000480978,-1.0020965902678687
50.0,2017-04-01 17:00:00,4.6300023,-3.5467875335430876,-2.9761081112601797,0.49230537100896593,-0.6009860093197795,-1.0311696044646692
50.0,2017-04-01 18:00:00,6.1733364,-4.729050044724117,-3.968144148346906,-0.1590044827180438,-0.9316646883486884,-1.1711625076568448
70.0,2017-04-01 19:00:00,5.1444469999999995,-4.834198883924203,-1.7595045002713068,-0.7307307660637404,-1.1080675249264342,-1.0967270580884854
90.0,2017-04-01 20:00:00,4.6300023,-4.6300023,-2.8350587483699417e-16,-1.175214441072784,-1.2692074877239077,-1.042490337859863
90.0,2017-04-01 21:00:00,4.6300023,-4.6300023,-2.8350587483699417e-16,-1.561047966072784,-1.2692074877239077,-0.7645291914608876
80.0,2017-04-01 22:00:00,4.1155576,-4.053033032448315,-0.7146590773232857,-1.9814703885340377,-1.427284286765934,-0.7775119097449532
100.0,2017-04-01 23:00:00,4.1155576,-4.053033032448315,0.7146590773232853,-2.319223141238064,-1.3677293636556602,-0.48317160513034896
120.0,2017-04-02 00:00:00,3.6011129,-3.1186552532958514,1.800556449999999,-2.6776329549444706,-1.3003526625795543,-0.1858028499871987
130.0,2017-04-02 01:00:00,2.5722234999999998,-1.9704375186350487,1.6533933951445436,-2.940357957429144,-1.079900209893615,0.03597988341735302
130.0,2017-04-02 02:00:00,2.5722234999999998,-1.9704375186350487,1.6533933951445436,-3.3250135366680045,-0.6793924244802297,0.6724550997935486
150.0,2017-04-02 03:00:00,2.5722234999999998,-1.2861117499999997,2.227610895211322,-3.4321895158346707,-0.2794062248792863,1.557167689433049
160.0,2017-04-02 04:00:00,1.5433341,-0.5278513500813922,1.4502596651772612,-3.2791333764779487,0.006788086733272987,2.1236097468766135
210.0,2017-04-02 05:00:00,1.5433341,0.7716670500000002,1.3365665371267932,-2.9192621611826914,0.3661776407655208,2.6836902971028884
0.0,2017-04-02 06:00:00,0.0,-0.0,-0.0,-2.5251746574556813,0.6968563197944295,3.1402558855637435
0.0,2017-04-02 07:00:00,0.0,-0.0,-0.0,-2.1223247504619978,0.8434816948170386,3.1836430898648067
0.0,2017-04-02 08:00:00,0.0,-0.0,-0.0,-1.7364912254619975,0.8434816948170386,2.743198043548461
0.0,2017-04-02 09:00:00,0.0,-0.0,-0.0,-1.3506577004619975,0.8434816948170386,2.3402174061391454
0.0,2017-04-02 10:00:00,0.0,-0.0,-0.0,-1.0129049477579712,0.9030366179273125,2.1632803484879677
0.0,2017-04-02 11:00:00,0.0,-0.0,-0.0,-0.6751521950539451,0.8434816948170386,1.6911433498825243
0.0,2017-04-02 12:00:00,0.0,-0.0,-0.0,-0.4152642572792908,0.6934353239837053,1.1510468498713216
100.0,2017-04-02 13:00:00,2.5722234999999998,-2.533145645280197,0.44666192332705323,-0.4621566011663864,0.5928743679989145,0.9893980469785948
90.0,2017-04-02 14:00:00,4.1155576,-4.1155576,-2.5200522207732813e-16,-0.640916607946799,0.4550915850702024,0.8576229007955283
100.0,2017-04-02 15:00:00,6.6877811,-6.586178677728513,1.1613210006503385,-1.082588851924175,0.3662340938567872,1.0326538583403975
110.0,2017-04-02 16:00:00,6.1733364,-5.801038660709045,2.111405400325568,-1.522021127809813,0.4213295717858127,1.4699500725243946
120.0,2017-04-02 17:00:00,6.6877811,-5.791788327549438,3.3438905499999985,-2.0689757426055992,0.5886065728585798,2.4194848737250596
110.0,2017-04-02 18:00:00,8.2311152,-7.734718214278726,2.8152072004340902,-2.713535593795493,0.823207172894754,3.787056725829099
110.0,2017-04-02 19:00:00,6.6877811,-6.2844585491014655,2.2873558503526983,-3.2372404728872817,1.0138201604241455,4.955173088959377
130.0,2017-04-02 20:00:00,7.2022258,-5.517225052178136,4.629501506404723,-3.6970092272354598,1.3996119526245392,7.048956135223467
120.0,2017-04-02 21:00:00,6.1733364,-5.346266148507174,3.0866681999999988,-4.142531406277724,1.656834302624539,8.693026047256648
110.0,2017-04-02 22:00:00,6.6877811,-6.2844585491014655,2.2873558503526983,-4.666236285369513,1.8474472901539307,10.370948496046251
110.0,2017-04-02 23:00:00,7.2022258,-6.767878437493886,2.463306300379829,-5.23022615516067,2.0527228151855827,11.94448482570364
120.0,2017-04-03 00:00:00,6.6877811,-5.791788327549438,3.3438905499999985,-5.7128751824564565,2.331380361018916,14.138231262439975
120.0,2017-04-03 01:00:00,6.1733364,-5.346266148507174,3.0866681999999988,-5.947301891058704,2.5513808840749945,15.604119996140524
120.0,2017-04-03 02:00:00,6.6877811,-5.791788327549438,3.3438905499999985,-6.086987785021158,2.8300384299083277,17.356977789612834
140.0,2017-04-03 03:00:00,5.6588917,-3.6374654693179975,4.334962540997106,-5.8412616843202825,3.094508558270558,18.207185713247146
120.0,2017-04-03 04:00:00,4.1155576,-3.564177432338116,2.057778799999999,-5.654856581956039,3.0900396749100945,17.9145564055168
130.0,2017-04-03 05:00:00,4.6300023,-3.546787533543088,2.9761081112601793,-5.467773182455509,3.059391138348443,17.175166626307778
110.0,2017-04-03 06:00:00,3.6011129,-3.383939218746943,1.2316531501899144,-5.105208266161194,2.9274283008280944,15.970200765475179
130.0,2017-04-03 07:00:00,3.0866682,-2.364525022362059,1.9840720741734528,-4.778547138932909,2.9021546528131577,15.093986102577322
130.0,2017-04-03 08:00:00,4.6300023,-3.546787533543088,2.9761081112601793,-4.614344012379989,2.764371869884446,14.24455254868478
130.0,2017-04-03 09:00:00,3.6011129,-2.758612526089068,2.3147507532023615,-4.398706210511813,2.700045415984643,13.655723640375346
140.0,2017-04-03 10:00:00,5.1444469999999995,-3.3067867902890886,3.940875037270096,-4.150566897277449,2.837838681561092,13.63082028937987
140.0,2017-04-03 11:00:00,4.1155576,-2.6454294322312712,3.152700029816077,-3.8070294801722304,2.8952881590141133,13.309841567450496
140.0,2017-04-03 12:00:00,5.1444469999999995,-3.3067867902890886,3.940875037270096,-3.5999460187338688,2.9450368662866215,13.164237555504506
130.0,2017-04-03 13:00:00,5.1444469999999995,-3.9408750372700974,3.3067867902890873,-3.4828300927974447,2.9633800821440457,13.02174436038412
160.0,2017-04-03 14:00:00,7.2022258,-2.46330630037983,6.767878437493885,-3.205456590533311,3.2487124061018697,13.841834735117313
120.0,2017-04-03 15:00:00,7.2022258,-6.237310506591703,3.601112899999998,-3.4221103436394533,3.187558269352111,14.018714193946549
120.0,2017-04-03 16:00:00,7.2022258,-6.237310506591703,3.601112899999998,-3.6448714331605863,3.3161694443521106,14.969483876252028
130.0,2017-04-03 17:00:00,7.2022258,-5.517225052178136,4.629501506404723,-3.809074559713506,3.4539522272808223,15.956010572337417
120.0,2017-04-03 18:00:00,8.2311152,-7.128354864676232,4.115557599999998,-4.12110919687428,3.694277598098329,17.818284356995495
130.0,2017-04-03 19:00:00,10.288893999999999,-7.881750074540195,6.613573580578175,-4.580877951222458,4.080069390298722,20.792439169998897
140.0,2017-04-03 20:00:00,9.2600046,-5.95221622252036,7.093575067086174,-4.781330341970564,4.423191636617556,23.042167948172747
140.0,2017-04-03 21:00:00,8.7455599,-5.621537543491451,6.699487563359164,-5.019907426754096,4.788586370797288,25.640599170291676
140.0,2017-04-03 22:00:00,9.2600046,-5.95221622252036,7.093575067086174,-5.240359879440036,5.051311373281962,27.55385180633039
140.0,2017-04-03 23:00:00,6.6877811,-4.298822827375815,5.123137548451125,-5.378142662368748,5.215514499834883,28.773268422490553
160.0,2017-04-04 00:00:00,6.1733364,-2.1114054003255687,5.801038660709045,-5.278527546538455,5.370528135121462,29.33658028107873
160.0,2017-04-04 01:00:00,5.1444469999999995,-1.7595045002713072,4.834198883924203,-5.096746668455222,5.497812476257722,29.78202365687605
160.0,2017-04-04 02:00:00,3.6011129,-1.231653150189915,3.3839392187469426,-4.994108905939395,5.215817541362144,27.857670339281324
